trip_id,start_time,end_time,headway_secs,exact_times
28270573,19:50:00,20:07:00,1020,1
28270574,20:27:00,20:47:00,1200,1
28270575,21:06:00,21:46:00,1200,1
28270576,22:12:00,23:04:00,1560,1
28270086,05:05:00,06:09:00,960,1
28270089,06:20:00,06:30:00,600,1
28270092,06:41:00,06:51:00,600,1
28270095,07:02:00,07:22:00,600,1
28270098,07:33:00,07:43:00,600,1
28270101,07:54:00,08:05:00,660,1
28270104,08:15:00,09:21:00,660,1
28270107,09:33:00,12:57:00,720,1
28270110,13:10:00,13:24:00,840,1
28270113,13:37:00,13:51:00,840,1
28270116,14:04:00,18:24:00,780,1
28270119,18:53:00,19:10:00,1020,1
28270122,19:26:00,20:00:00,1020,1
28270125,20:34:00,20:51:00,1020,1
28270128,21:10:00,21:28:00,1080,1
28270131,22:12:00,22:38:00,1560,1
28263085,06:40:00,07:40:00,1800,1
28263086,08:03:00,08:25:00,1320,1
28263087,08:50:00,20:30:00,1500,1
28263048,06:00:00,06:22:00,1320,1
28263051,06:43:00,07:05:00,1320,1
28263054,07:26:00,08:17:00,1020,1
28263057,08:35:00,09:51:00,1140,1
28263060,10:11:00,11:51:00,1200,1
28263063,12:12:00,12:36:00,1440,1
28263066,13:02:00,19:06:00,1560,1
28263307,08:35:00,08:59:00,1440,1
28263897,10:32:00,10:59:00,1620,1
28263903,13:37:00,13:57:00,1200,1
28263899,11:37:00,11:57:00,1200,1
28263901,12:37:00,12:57:00,1200,1
28263337,13:05:00,13:30:00,1500,1
28263905,14:37:00,14:57:00,1200,1
28263909,16:37:00,16:57:00,1200,1
28263907,15:37:00,15:57:00,1200,1
28288092,21:02:00,21:29:00,1620,1
28243707,13:03:00,13:28:00,1500,1
28243722,15:33:00,15:58:00,1500,1
28243662,05:30:00,06:00:00,1800,1
28244222,05:30:00,06:00:00,1800,1
28243680,08:37:00,08:58:00,1260,1
28244239,15:05:00,15:25:00,1200,1
28244229,09:24:00,09:52:00,1680,1
28244238,14:05:00,14:45:00,1200,1
28244240,15:45:00,16:25:00,1200,1
28244242,17:05:00,17:25:00,1200,1
28243692,10:34:00,10:58:00,1440,1
28244234,12:05:00,12:25:00,1200,1
28244236,13:05:00,13:25:00,1200,1
28244232,11:05:00,11:25:00,1200,1
28244245,18:33:00,18:58:00,1500,1
28277660,23:01:00,23:27:00,1560,1
28286426,10:12:00,10:41:00,1740,1
28279343,07:00:00,07:27:00,1620,1
28279344,07:53:00,08:45:00,1560,1
28279345,09:14:00,09:42:00,1680,1
28279346,10:11:00,10:39:00,1680,1
28279347,11:08:00,11:36:00,1680,1
28279348,12:05:00,19:35:00,1800,1
28275036,07:00:00,21:00:00,1800,1
28274751,06:35:00,07:03:00,1680,1
28274754,07:32:00,08:00:00,1680,1
28274757,08:30:00,19:30:00,1800,1
28239472,07:30:00,09:02:00,1380,1
28239473,09:21:00,17:54:00,1140,1
28239474,18:12:00,18:31:00,1140,1
