shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_31BASC0_89905_89910,193065,38.751952,-9.114039,11,
1_31BASC0_89910_3714,193065,38.747965,-9.11292,12,
1_31BASC0_3714_3708,193065,38.74634,-9.112979,13,
1_31BASC0_3708_3706,193065,38.744135,-9.113686,14,
1_31BASC0_3706_3716,193065,38.742463,-9.112935,15,
1_31BASC0_3716_3702,193065,38.740649,-9.112059,16,
1_31BASC0_3702_3704,193065,38.739916,-9.110612,17,
1_31BASC0_3704_3721,193065,38.741602,-9.107882,18,
1_31BASC0_3721_3722,193065,38.741858,-9.108452,19,
1_31BDESC0_3722_3709,193066,38.740314,-9.10983,1,
1_31BDESC0_3709_3701,193066,38.740737,-9.111917,2,
1_31BDESC0_3701_3715,193066,38.742408,-9.112752,3,
1_31BDESC0_3715_3703,193066,38.74446,-9.113232,4,
1_31BDESC0_3703_3705,193066,38.746554,-9.11281,5,
1_31BDESC0_3705_3713,193066,38.748168,-9.112946,6,
1_31BDESC0_3713_3723,193066,38.748776,-9.113487,7,
1_31BDESC0_3723_89912,193066,38.751998,-9.113506,8,
1_31BDESC0_89912_89926,193066,38.751696,-9.112043,9,
1_31BDESC0_89926_89924,193066,38.751639,-9.109369,10,
1_31BDESC0_89924_89922,193066,38.753003,-9.110313,11,
1_31BDESC0_89922_89901,193066,38.754428,-9.109356,12,
1_31BDESC0_89901_89907,193066,38.752992,-9.105705,13,
1_31BDESC0_89907_2205,193066,38.750878,-9.104596,14,
1_31BDESC0_2205_2221,193066,38.749671,-9.103355,15,
1_31BDESC0_2221_2222,193066,38.74801,-9.103107,16,
1_32BCIRC0_89909_89903,193067,38.755985,-9.113618,1,
1_32BCIRC0_89903_89905,193067,38.753727,-9.114232,2,
